numb_features,RSS,R_squared,features,min_RSS,max_R_squared
1,285847.02481417166,0.9918041047989493,"('GHI',)",285847.02481417166,0.9918041047989493
1,9665055.566402817,0.7228805072011318,"('DHI',)",285847.02481417166,0.9918041047989493
1,7623624.199914211,0.7814130651340165,"('DNI',)",285847.02481417166,0.9918041047989493
1,32470374.014489662,0.0689992917201715,"('WS',)",285847.02481417166,0.9918041047989493
1,12595662.25314514,0.6388532366858869,"('RH',)",285847.02481417166,0.9918041047989493
1,21446731.522753924,0.38507261329785913,"('T',)",285847.02481417166,0.9918041047989493
1,6460233.96446267,0.814770153436353,"('DP',)",285847.02481417166,0.9918041047989493
2,115250.40265729651,0.9966955044479748,"('GHI', 'DHI')",114440.11017641725,0.9967187374071415
2,114440.11017641725,0.9967187374071415,"('GHI', 'DNI')",114440.11017641725,0.9967187374071415
2,243660.57976886898,0.9930136877313621,"('GHI', 'WS')",114440.11017641725,0.9967187374071415
2,186357.7916000533,0.9946566911765264,"('GHI', 'RH')",114440.11017641725,0.9967187374071415
2,164092.1288332845,0.9952950992157108,"('GHI', 'T')",114440.11017641725,0.9967187374071415
2,149206.0569608533,0.995721917319209,"('GHI', 'DP')",114440.11017641725,0.9967187374071415
2,117179.73120191849,0.9966401861371741,"('DHI', 'DNI')",114440.11017641725,0.9967187374071415
2,5604343.615373602,0.8393105089264441,"('DHI', 'WS')",114440.11017641725,0.9967187374071415
2,956593.684933248,0.9725722470024076,"('DHI', 'RH')",114440.11017641725,0.9967187374071415
2,5067202.120324571,0.854711597688587,"('DHI', 'T')",114440.11017641725,0.9967187374071415
2,1383236.9821886774,0.9603393970897335,"('DHI', 'DP')",114440.11017641725,0.9967187374071415
2,2551763.412415425,0.9268350422061299,"('DNI', 'WS')",114440.11017641725,0.9967187374071415
2,960234.0441791388,0.9724678694847726,"('DNI', 'RH')",114440.11017641725,0.9967187374071415
2,1879641.1031448015,0.9461063430449311,"('DNI', 'T')",114440.11017641725,0.9967187374071415
2,1018459.545910382,0.9707984097080682,"('DNI', 'DP')",114440.11017641725,0.9967187374071415
2,3108399.1284333644,0.9108750090498966,"('WS', 'RH')",114440.11017641725,0.9967187374071415
2,17838264.14966573,0.4885357171922158,"('WS', 'T')",114440.11017641725,0.9967187374071415
2,5254215.902731344,0.8493494800917555,"('WS', 'DP')",114440.11017641725,0.9967187374071415
2,3162823.03811594,0.9093145497081216,"('RH', 'T')",114440.11017641725,0.9967187374071415
2,3034847.063720238,0.9129839168288094,"('RH', 'DP')",114440.11017641725,0.9967187374071415
2,3195822.143798218,0.9083683890402744,"('T', 'DP')",114440.11017641725,0.9967187374071415
3,114589.59700084072,0.9967144512742085,"('GHI', 'DHI', 'DNI')",13912.296690714167,0.9996011022827433
3,50492.93668758476,0.9985522507440694,"('GHI', 'DHI', 'WS')",13912.296690714167,0.9996011022827433
3,33954.403459862784,0.9990264487358155,"('GHI', 'DHI', 'RH')",13912.296690714167,0.9996011022827433
3,13912.296690714167,0.9996011022827433,"('GHI', 'DHI', 'T')",13912.296690714167,0.9996011022827433
3,20001.448832395512,0.9994265122101375,"('GHI', 'DHI', 'DP')",13912.296690714167,0.9996011022827433
3,54205.3175955916,0.9984458081988365,"('GHI', 'DNI', 'WS')",13912.296690714167,0.9996011022827433
3,37226.60244840551,0.9989326272241013,"('GHI', 'DNI', 'RH')",13912.296690714167,0.9996011022827433
3,15785.221237283327,0.9995474012049969,"('GHI', 'DNI', 'T')",13912.296690714167,0.9996011022827433
3,22363.385680371164,0.9993587900189056,"('GHI', 'DNI', 'DP')",13912.296690714167,0.9996011022827433
3,167732.5601337488,0.9951907196321046,"('GHI', 'WS', 'RH')",13912.296690714167,0.9996011022827433
3,128040.92455072876,0.9963287706081755,"('GHI', 'WS', 'T')",13912.296690714167,0.9996011022827433
3,133265.50188497652,0.9961789698945626,"('GHI', 'WS', 'DP')",13912.296690714167,0.9996011022827433
3,113900.04847424873,0.9967342222249947,"('GHI', 'RH', 'T')",13912.296690714167,0.9996011022827433
3,109419.91608372203,0.9968626779805984,"('GHI', 'RH', 'DP')",13912.296690714167,0.9996011022827433
3,113867.45496869138,0.996735156756169,"('GHI', 'T', 'DP')",13912.296690714167,0.9996011022827433
3,54134.520604669306,0.998447838112279,"('DHI', 'DNI', 'WS')",13912.296690714167,0.9996011022827433
